strain	date	Subtype	Host	Country	HA_clade
A/swine/Denmark/SI22-09466-3/2022	2022-10-27	H1N1	swine	Denmark	1A.3.3.2
A/swine/Denmark/SI-22-10875-4/2022	2022-12-20	H1N1	swine	Denmark	1A.3.3.2
A/swine/Denmark/SI-2022-10298-6/2022	2022-06-16	H1N2	swine	Denmark	1A.3.3.2
A/swine/Denmark/SI-2022-10298-5/2022	2022-06-16	H1N1	swine	Denmark	1A.3.3.2
A/swine/Denmark/SI-2022-10298-4/2022	2022-06-16	H1N1	swine	Denmark	1A.3.3.2
A/swine/Denmark/SI-2022-10298-3/2022	2022-06-16	H1N1	swine	Denmark	1A.3.3.2
A/swine/Denmark/SI-2022-10296-2/2022	2022-03-17	H1N1	swine	Denmark	1A.3.3.2
A/swine/Denmark/SI-2022-10296-1/2022	2022-03-30	H1N1	swine	Denmark	1A.3.3.2
A/swine/Denmark/LF22-254-21-30/2022	2022-12-30	H1N2	swine	Denmark	1A.3.3.2
A/swine/Denmark/LF22-156-2/2022	2022-12-30	H1N1	swine	Denmark	1A.3.3.2
A/swine/Denmark/LF22-11891-1/2022	2022-12-28	H1N1	swine	Denmark	1A.3.3.2
A/swine/Denmark/LF22-1870-1/2022	2022-12-27	H1N1	swine	Denmark	1A.3.3.2
A/swine/Denmark/LF22-11742-1/2022	2022-12-16	H1N1	swine	Denmark	1A.3.3.2
A/swine/Denmark/LF22-11494-1/2022	2022-12-02	H1N1	swine	Denmark	1A.3.3.2
A/swine/Denmark/LF22-11413-1/2022	2022-11-29	H1N1	swine	Denmark	1A.3.3.2
A/swine/Denmark/LF22-10721-2/2022	2022-10-18	H1N2	swine	Denmark	1A.3.3.2
A/swine/Denmark/LF22-10354-3/2022	2022-09-27	H1N1	swine	Denmark	1A.3.3.2
A/swine/France/59-210033-3/2020	2020-12-21	H1N2	swine	France	1A.3.3.2
A/swine/France/05-210487-1/2021	2021-09-24	H1N1	swine	France	1A.3.3.2
A/swine/France/29-210511-2/2021	2021-10-21	H1N1	swine	France	1A.3.3.2
A/swine/France/35-220001-2/2021	2021-12-22	H1N1	swine	France	1A.3.3.2
A/swine/France/56-220081-1/2022	2022-02-03	H1N1	swine	France	1A.3.3.2
A/swine/France/59-220406-3/2022	2022-05-12	H1N2	swine	France	1A.3.3.2
A/swine/Germany/2022AI03601/2022	2022-06-29	H1N2	swine	Germany	1A.3.3.2
A/swine/Germany/2022AI03599/2022	2022-06-29	H1N2	swine	Germany	1A.3.3.2
A/swine/Germany/2022AI02899/2022	2022-05-24	H1N1	swine	Germany	1A.3.3.2
A/swine/Germany/2021AI08934/2021	2021-12-27	H1N2	swine	Germany	1B.1.2.1
A/swine/Germany/2021AI08777/2021	2021-12-17	H1N2	swine	Germany	1C.2.4
A/swine/Germany/2021AI08715/2021	2021-12-14	H1N1	swine	Germany	1A.3.3.2
A/swine/Germany/2021AI07498/2021	2021-11-22	H1N1	swine	Germany	1C.2.2
A/swine/Germany/2021AI07488/2021	2021-11-22	H1N1	swine	Germany	1C.2.2
A/swine/Germany/2021AI07475/2021	2021-11-22	H1N1	swine	Germany	1C.2.2
A/swine/Germany/2021AI07440/2021	2021-11-22	H1N2	swine	Germany	1C.2.2
A/swine/Germany/2021AI05981/2021	2021-10-21	H1N1	swine	Germany	1C.2.1
A/swine/Germany/2021AI05596/2021	2021-10-04	H1N1	swine	Germany	1C.2.2
A/swine/Germany/2021AI05072/2021	2021-07-30	H1N2	swine	Germany	1C.2.4
A/swine/Germany/2021AI04886/2021	2021-06-29	H1N2	swine	Germany	1A.3.3.2
A/swine/Germany/R495/2012	2012-01-XX	H1N2	swine	Germany	1A.3.3.2
A/swine/Netherlands/Rhezerveen-CVI9121A/2012	2012-04-24	H1N1	swine	Netherlands	1C.2.1
A/swine/Netherlands/Barger-Compascuum-_CVI6324A/2012	2012-04-03	H1N2	swine	Netherlands	1A.3.3.2
A/swine/France/18-120158/2012	2012-04-25	H1N1	swine	France	1A.3.3.2
A/swine/England/11582/2012	2012-03-28	H1N1	swine	United Kingdom	1A.3.3.2
A/swine/Italy/225349-4/2012	2012-09-XX	H1N1	swine	Italy	1A.3.3.2
A/swine/Italy/225349-2/2012	2012-09-XX	H1N1	swine	Italy	1A.3.3.2
A/swine/Italy/225349-1/2012	2012-09-XX	H1N1	swine	Italy	1A.3.3.2
A/swine/Italy/120336/2012	2012-05-XX	H1N1	swine	Italy	1A.3.3.2
A/swine/Warendorf/IDT15018/2012	2012-03-19	H1N2	swine	Germany	1A.3.3.2
A/swine/Garrel/IDT14892/2012	2012-02-22	H1N2	swine	Germany	1A.3.3.2
A/swine/Garrel/IDT14891/2012	2012-02-22	H1N2	swine	Germany	1A.3.3.2
