strain	date	Subtype	Host	Country	HA_clade
A/swine/France/29-200395-3/2020	2020-10-26	H1N2	swine	France	1B.1.2.3
A/swine/Germany/2022AI03533/2022	2022-06-29	H1N2	swine	Germany	1B.1.2.1
A/swine/Germany/2022AI00362/2022	2022-01-07	H1N2	swine	Germany	1B.1.2.1
A/swine/Germany/2022AI00361/2022	2022-01-07	H1N2	swine	Germany	1B.1.2.1
A/swine/Germany/2022AI00359/2022	2022-01-07	H1N2	swine	Germany	1B.1.2.1
A/swine/Germany/2021AI08934/2021	2021-12-27	H1N2	swine	Germany	1B.1.2.1
A/swine/Netherlands/Wanroij-CVI2117A/2012	2012-05-15	H1N2	swine	Netherlands	1B.1.2.1
A/swine/France/22-120067/2012	2012-02-08	H1N1	swine	France	1B.1.2.3
A/swine/France/22-120228/2012	2012-07-09	H1N2	swine	France	1B.1.2.3
A/swine/Netherlands/De-Lutte-167A/2012	2012-04-25	H1N2	swine	Netherlands	1B.1.2.1
A/swine/England/7800/2012	2012-02-09	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/6183/2012	2012-01-11	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/024924/2012	2012-08-10	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/30148/2012	2012-10-29	H1N2	swine	United Kingdom	1B.1.1
A/swine/Spain/29262/2012	2012-01-31	H1N2	swine	Spain	1B.1.2
A/swine/England/038712/2012	2012-12-05	H1N2	swine	United Kingdom	1B.1.1
A/swine/Italy/55228/2012	2012-03-02	H1N2	swine	Italy	1B.1.2.2
A/swine/England/7856/2012	2012-02-23	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/015904/2012	2012-11-21	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/9953/2012	2012-05-14	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/34627/2012	2012-11-06	H1N2	swine	United Kingdom	1B.1.1
A/swine/France/35-120024/2012	2012-01-19	H1N2	swine	France	1B.1.2.3
A/swine/Spain/29257/2012	2012-01-30	H1N2	swine	Spain	1B.1.2
A/swine/Belgium/Oostkamp-26/2012	2012-01-12	H1N2	swine	Belgium	1B.1.2.1
A/swine/Italy/337085/2012	2012-09-XX	H1N2	swine	Italy	1B.1.2.2
A/swine/Petershagen/16696/2012	2012-12-03	H1N2	swine	Germany	1B.1.2.1
A/swine/Lohne/15625/2012	2012-07-13	H1N2	swine	Germany	1B.1.2.1
A/swine/Dobersdorf/15341/2012	2012-05-14	H1N2	swine	Germany	1B.1.2.1
A/swine/Sendenhorst/15335/2012	2012-05-15	H1N2	swine	Germany	1B.1.2.1
A/swine/Lohne/15286/2012	2012-04-30	H1N2	swine	Germany	1B.1.2.1
A/swine/Lohne/15102/2012	2012-03-28	H1N2	swine	Germany	1B.1.2.1
A/swine/Havixbeck/15034/2012	2012-03-16	H1N2	swine	Germany	1B.1.2.1
A/swine/Erlingen/14916/2012	2012-02-29	H1N2	swine	Germany	1B.1.2.1
A/swine/Ascheberg/14874/2012	2012-02-27	H1N2	swine	Germany	1B.1.2.1
A/swine/Senden/14779/2012	2012-02-13	H1N2	swine	Germany	1B.1.2.1
A/swine/Hude/14670/2012	2012-01-25	H1N2	swine	Germany	1B.1.2.1
A/swine/Wietmarschen/14638/2012	2012-01-25	H1N2	swine	Germany	1B.1.2.1
A/swine/Albersloh/IDT14635-2/2012	2012-01-26	H1N2	swine	Germany	1B.1.2.1
A/swine/England/097085/2014	2014-01-04	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/096724/2014	2014-03-28	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/091738/2014	2014-02-07	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/091736/2014	2014-02-07	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/091215/2014	2014-01-30	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/087377/2014	2014-01-06	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/028258/2014	2014-02-26	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/028256/2014	2014-02-26	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/026605/2014	2014-01-10	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/220198/2015	2015-02-18	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/143740/2015	2015-10-27	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/143739/2015	2015-10-27	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/132457/2015	2015-06-03	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/130543/2015	2015-05-07	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/040574/2015	2015-09-24	H1N1	swine	United Kingdom	1B.1.1
A/swine/England/155224/2016	2016-03-09	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/153554/2016	2016-02-23	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/153553/2016	2016-02-23	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/151782/2016	2016-02-02	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/151720/2016	2016-02-02	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/045983/2016	2016-07-08	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/044988/2016	2016-03-10	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/042792/2016	2016-01-28	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/180277/2017	2017-11-12	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/053048/2017	2017-06-07	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/204998/2018	2011-03-21	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/066871/2018	2018-08-14	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/064519/2018	2018-05-29	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/062942/2018	2018-04-25	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/015824/2019	2019-07-12	H1N1	swine	United Kingdom	1B.1.1
A/swine/England/083412/2019	2019-12-20	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/075667/2019	2019-05-28	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/03180/2019	2019-01-01	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/079389/2019	2019-09-13	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/219508/2019	2019-06-10	H1N1	swine	United Kingdom	1B.1.1
A/swine/England/072591/2019	2019-03-07	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/023799/2020	2020-05-12	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/023795/2020	2020-05-12	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/228996/2020	2020-05-07	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/092944/2020	2020-09-02	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/263079/2020	2020-01-01	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/238434/2021	2021-05-13	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/102081/2021	2021-04-09	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/102076/2021	2021-04-09	H1N2	swine	United Kingdom	1B.1.1
A/swine/England/100227/2021	2021-01-01	H1N2	swine	United Kingdom	1B.1.1
A/swine/France/IIIeetVilaine-0404/2011		H1N2	swine	France	1B.1.2.3
A/swine/Scotland/51190/1999		H1N2	swine	United Kingdom	1B.1.1
A/swine/England/33766/2003		H1N2	swine	United Kingdom	1B.1.1
A/swine/England/1437/2004		H1N2	swine	United Kingdom	1B.1.1
A/swine/Groitzsch/IDT6016-1/2007	2007-03-22	H1N2	swine	Germany	1B.1.2.1
A/swine/Groitzsch/IDT6016-2/2007	2007-03-22	H1N2	swine	Germany	1B.1.2.1
