strain	date	Subtype	Host	Country	HA_clade
A/swine/England/117205/2022	2022-09-30	H1N1	swine	United Kingdom	1C.2.2
A/swine/Denmark/SI-22-10697-5/2022	2022-12-13	H1N2	swine	Denmark	1C.2.4
A/swine/Denmark/SI-22-10597-1/2022	2022-12-05	H1N2	swine	Denmark	1C.2.4
A/swine/Denmark/SI-22-10495-1/2022	2022-12-06	H1N2	swine	Denmark	1C.2.4
A/swine/Denmark/SI-22-10440-5/2022	2022-12-05	H1N1	swine	Denmark	1C.2.2
A/swine/Denmark/SI-22-10439-5/2022	2022-12-05	H1N2	swine	Denmark	1C.2.4
A/swine/Denmark/SI-22-09562-1/2022	2022-11-03	H1N2	swine	Denmark	1C.2.4
A/swine/Denmark/SI-22-09420-5/2022	2022-10-31	H1N2	swine	Denmark	1C.2.4
A/swine/Denmark/SI-2022-10298-10/2022	2022-06-16	H1N2	swine	Denmark	1C.2.4
A/swine/Denmark/SI-2022-10296-9/2022	2022-05-06	H1N2	swine	Denmark	1C.2.4
A/swine/Denmark/SI-2022-10296-8/2022	2022-04-21	H1N2	swine	Denmark	1C.2.4
A/swine/Denmark/SI-2022-10296-6/2022	2022-03-30	H1N2	swine	Denmark	1C.2.4
A/swine/Denmark/SI-2022-10296-5/2022	2022-03-30	H1N2	swine	Denmark	1C.2.4
A/swine/Denmark/SI-2022-10296-4/2022	2022-03-30	H1N2	swine	Denmark	1C.2.4
A/swine/Denmark/SI-2022-10296-3/2022	2022-03-17	H1N2	swine	Denmark	1C.2.4
A/swine/Denmark/SI-2022-10296-10/2022	2022-05-16	H1N2	swine	Denmark	1C.2.4
A/swine/Denmark/LF22-242-4/2022	2022-12-30	H1N2	swine	Denmark	1C.2.4
A/swine/Denmark/LF22-11841-2/2022	2022-12-22	H1N2	swine	Denmark	1C.2.4
A/swine/Denmark/LF22-11754-1/2022	2022-12-19	H1N2	swine	Denmark	1C.2.4
A/swine/Denmark/LF22-11648-2/2022	2022-12-13	H1N2	swine	Denmark	1C.2.4
A/swine/Denmark/LF22-11608-4/2022	2022-12-09	H1N2	swine	Denmark	1C.2.4
A/swine/Denmark/LF22-11572-1/2022	2022-12-07	H1N2	swine	Denmark	1C.2.4
A/swine/Denmark/LF22-11521-1/2022	2022-12-05	H1N2	swine	Denmark	1C.2
A/swine/Denmark/LF22-11392-1/2022	2022-11-25	H1N2	swine	Denmark	1C.2.5
A/swine/Denmark/LF22-11386-2/2022	2022-11-25	H1N2	swine	Denmark	1C.2.4
