name	country	date	host	subtype	HA_clade
A/swine/Feldbach/4262/2005	Austria	2005-07-08	swine	H3N2	1970.1
A/swine/Feldbach/4589/2005	Austria	2005-10-20	swine	H3N1	1970.1
A/swine/Feldbach/5907/2007	Austria	2007-02-06	swine	H3N2	1970.1
A/swine/Gnas/5926/2007	Austria	2007-02-16	swine	H3N2	1970.1
A/swine/Feldbach/6605/2007	Austria	2007-10-28	swine	H3N2	1970.1
A/swine/Belgium/Gent-1/1984	Belgium	1984-06-15	swine	H3N2	1970.1
A/swine/Gent/1/1984	Belgium	1984-06-15	swine	H3N2	1970.1
A/swine/Gent/V220/1992	Belgium	1992-06-15	swine	H3N2	1970.1
A/swine/Gent/V229/1992	Belgium	1992-06-15	swine	H3N2	1970.1
A/swine/Flanders/1/1998	Belgium	1998-06-15	swine	H3N2	1970.1
A/swine/Gent/83/2000	Belgium	2000-03-22	swine	H3N2	1970.1
A/swine/Belgium/Gent-131/2000	Belgium	2000-06-15	swine	H3N2	1970.1
A/swine/Gent/1996/2007	Belgium	2007-06-15	swine	H3N2	1970.1
A/swine/Gent/172/2008	Belgium	2008-05-09	swine	H3N2	1970.1
A/swine/Gent/198/2010	Belgium	2010-03-12	swine	H3N2	1970.1
A/swine/Belgium/Izegem-538/2010	Belgium	2010-11-03	swine	H3N2	1970.1
A/swine/Belgium/Valdegem-581/2010	Belgium	2010-11-26	swine	H3N2	1970.1
A/swine/Belgium/Bree-205/2011	Belgium	2011-04-12	swine	H3N2	1970.1
A/swine/Gent/492/2011	Belgium	2011-11-03	swine	H3N2	1970.1
A/swine/Belgium/Moorslede-515/2011	Belgium	2011-11-14	swine	H3N2	1970.1
A/swine/Gent/130/2012	Belgium	2012-03-26	swine	H3N2	1970.1
A/swine/Gent/167/2012	Belgium	2012-04-25	swine	H3N2	1970.1
A/swine/Belgium/Glabbeek-284/2012	Belgium	2012-07-31	swine	H3N2	1970.1
A/swine/Belgium/Belsele-66/2013	Belgium	2013-03-13	swine	H3N2	1970.1
A/swine/Belgium/113/2013	Belgium	2013-06-15	swine	H3N2	1970.1
A/swine/Belgium/Gent-82/2020	Belgium	2020-02-07	swine	H3N2	1970.1
A/swine/Denmark/14348-9/2003	Denmark	2003-06-15	swine	H3N2	1970.1
A/swine/Denmark/101501-1/2010	Denmark	2010-08-16	swine	H3N2	1970.1
A/swine/Denmark/2015_05755_1p1/2015	Denmark	2015-01-15	swine	H3N2	2000.3
A/swine/Denmark/2016_3944_2p1/2016	Denmark	2016-01-15	swine	H3N2	2000.3
A/swine/Denmark/S3974_2/2020	Denmark	2020-01-15	swine	H3N2	Other-Human-2010
A/swine/France/59-120031/2012	France	2012-01-18	swine	H3N2	1970.1
A/swine/France/59-140441/2014	France	2014-09-22	swine	H3N2	1970.1
A/swine/France/62-140458/2014	France	2014-10-08	swine	H3N2	1970.1
A/swine/France/59-150357/2015	France	2015-10-12	swine	H3N2	1970.1
A/swine/France/62-160219/2016	France	2016-06-03	swine	H3N2	1970.1
A/swine/Potsdam/35/1982	Germany	1982-06-15	swine	H3N2	?
A/swine/Karrenzien/2/1987	Germany	1987-06-15	swine	H3N2	?
A/swine/Leipzig/145/1992	Germany	1992-06-15	swine	H3N2	?
A/swine/Bakum/19909/1993	Germany	1993-06-15	swine	H3N2	1970.1
A/swine/Jena/5/1996	Germany	1996-06-15	swine	H3N2	1970.1
A/swine/Lohne/1/1997	Germany	1997-06-15	swine	H3N2	1970.1
A/swine/Bakum/1362/1998	Germany	1998-06-15	swine	H3N2	1970.1
A/swine/Bakum/8602/1999	Germany	1999-06-15	swine	H3N2	1970.1
A/swine/Berlin/1578/2000	Germany	2000-06-15	swine	H3N2	1970.1
A/swine/Belzig/54/2001	Germany	2001-06-15	swine	H3N2	1970.1
A/swine/Bakum/IDT1769/2003	Germany	2003-03-07	swine	H3N2	1970.1
A/swine/Bissendorf/IDT1864/2003	Germany	2003-03-19	swine	H3N2	1970.1
A/swine/Nordkirchen/IDT1993/2003	Germany	2003-04-15	swine	H3N2	1970.1
A/swine/Damme/IDT2890/2004	Germany	2004-01-02	swine	H3N2	1970.1
A/swine/Kevelaer/2892/2004	Germany	2004-01-06	swine	H3N2	1970.1
A/swine/Hassendorf/2929/2004	Germany	2004-01-26	swine	H3N1	1970.1
A/swine/Delmenhorst/3025/2004	Germany	2004-03-11	swine	H3N2	1970.1
A/swine/Uedem/3024/2004	Germany	2004-03-12	swine	H3N2	1970.1
A/swine/Seesen/IDT3055/2004	Germany	2004-03-15	swine	H3N2	1970.1
A/swine/Appel/3339/2004	Germany	2004-07-05	swine	H3N2	1970.1
A/swine/Lohne/IDT3357/2004	Germany	2004-07-26	swine	H3N2	1970.1
A/swine/Hoerstel/3763/2004	Germany	2004-12-06	swine	H3N2	1970.1
A/swine/Sassenberg/3762/2004	Germany	2004-12-17	swine	H3N2	1970.1
A/swine/Melle/3764/2004	Germany	2004-12-18	swine	H3N2	1970.1
A/swine/Geseke/3766/2004	Germany	2004-12-22	swine	H3N2	1970.1
A/swine/Huerth/3870/2005	Germany	2005-02-02	swine	H3N2	1970.1
A/swine/Huerth/3871/2005	Germany	2005-02-02	swine	H3N2	1970.1
A/swine/Bohmte/3856/2005	Germany	2005-02-03	swine	H3N2	1970.1
A/swine/Grebenau/3887/2005	Germany	2005-02-15	swine	H3N2	1970.1
A/swine/Hannover/3906/2005	Germany	2005-02-21	swine	H3N2	1970.1
A/swine/Nottuln/3921/2005	Germany	2005-02-25	swine	H3N2	1970.1
A/swine/Isterberg/3951/2005	Germany	2005-03-08	swine	H3N2	1970.1
A/swine/Melle/3962/2005	Germany	2005-03-14	swine	H3N2	1970.1
A/swine/Ruhstorf/3972/2005	Germany	2005-03-17	swine	H3N2	1970.1
