strain	date	country	host	HA_clade
A/human/Aberaeron/5961/2018|HA|2018.192	2018-03-12	out	human	Other-Human-2010-like
A/human/Abertillery/5073/2018|HA|2018.173	2018-03-05	out	human	Other-Human-2010-like
A/human/Aberystwyth/5413/2017|HA|2017.696	2017-09-12	out	human	Other-Human-2010-like
A/human/Abidjan/456/2021|HA|2021.512	2021-07-06	out	human	Other-Human-2010
A/human/Aix-en-Provence/2474/2015|HA|2015.885	2015-11-20	out	human	?
A/human/Alicante/33587838/2013|HA|2013.115	2013-02-11	out	human	?
A/human/Alsace/3477/2016|HA|2016.948	2016-12-12	out	human	?
A/human/Alsace/57547/2022|HA|2022.926	2022-12-04	out	human	Other-Human-2020
A/swine/Altenberge/18142/2013|HA|2013.501	2013-07-02	Germany	swine	1970.1
A/human/Andalucia/2714/2022|HA|2022.241	2022-03-29	out	human	Other-Human-2020
A/human/Astrakhan/RII06/2012|HA|2012.235	2012-03-27	out	human	2010.1-like
A/human/Athens.GR/175/2016|HA|2016.033	2016-01-13	out	human	?
A/human/Athens.GR/1613/2019|HA|2019.252	2019-04-02	out	human	Other-Human-2010-like
A/human/Austria/790710/2014|HA|2014.277	2014-04-12	out	human	Other-Human-2010-like
A/human/Austria/1121455/2019|HA|2019.077	2019-01-29	out	human	?
A/swine/Bad_Wuennenberg/14829/2012|HA|2012.142	2012-02-21	Germany	swine	1970.1
A/swine/Bad_Wuennenberg/14810/2012|HA|2012.134	2012-02-19	Germany	swine	1970.1
A/swine/Bad_Wuennenberg/17298/2013|HA|2013.115	2013-02-11	Germany	swine	1970.1
A/human/Baleares/2476/2017|HA|2017.921	2017-12-03	out	human	Other-Human-2010-like
A/human/Bari/19/2019|HA|2019.019	2019-01-07	out	human	Other-Human-2010-like
A/human/Bari/82/2022|HA|2022.932	2022-12-07	out	human	Other-Human-2020
A/human/Bari/41/2022|HA|2022.910	2022-11-29	out	human	Other-Human-2020
A/human/Basel/USB002889.4/2017|HA|2017.077	2017-01-29	out	human	?
A/human/Basel/USB003354.4/2017|HA|2017.008	2017-01-03	out	human	?
A/human/Basel/USB002921.4/2017|HA|2017.085	2017-02-XX	out	human	?
A/human/Bayern/73/2016|HA|2016.945	2016-12-11	out	human	?
A/swine/Belgium/Glabbeek-284/2012|HA|2012.579	2012-07-30	Belgium	swine	1970.1
A/swine/Belgium/113/2013|HA|2013.000	2013-XX-XX	Belgium	swine	1970.1
A/swine/Belgium/AR1204/2015|HA|2015.512	2015-07-06	Belgium	swine	1970.1
A/swine/Belgium/Belsele-66/2013|HA|2013.195	2013-03-13	Belgium	swine	1970.1
A/human/Belgium/G0124/2019|HA|2019.071	2019-01-26	out	human	Other-Human-2010-like
A/human/Belgium/G0033/2017|HA|2017.014	2017-01-06	out	human	?
A/human/Belgium/G0030/2019|HA|2019.025	2019-01-10	out	human	Other-Human-2010
A/human/Belgium/H0161/2018|HA|2018.885	2018-11-20	out	human	Other-Human-2010-like
A/human/Belgium/G0059/2017|HA|2017.022	2017-01-09	out	human	?
A/human/Belgium/S0224/2019|HA|2019.036	2019-01-14	out	human	Other-Human-2010-like
A/human/Belgrade/WRAIR2956T/2010|HA|2010.816	2010-10-25	out	human	Other-Human-2000
A/human/Belgrade/2114/2014|HA|2014.205	2014-03-16	out	human	Other-Human-2010-like
A/human/Berlin/79/2014|HA|2014.956	2014-12-15	out	human	?
A/human/Berlin/48/2017|HA|2017.085	2017-02-XX	out	human	?
A/human/Berlin/49/2017|HA|2017.104	2017-02-07	out	human	Other-Human-2010-like
A/human/Berlin/94/2022|HA|2022.296	2022-04-19	out	human	Other-Human-2020
A/human/Bilthoven/16190/1968|HA|1968.000	1968-XX-XX	out	human	?
A/human/Bilthoven/21801/1971|HA|1971.000	1971-XX-XX	out	human	Other-Human-1970-like
A/human/Bilthoven/21793/1972|HA|1972.000	1972-XX-XX	out	human	?
A/human/Bilthoven/628/1976|HA|1976.000	1976-XX-XX	out	human	Other-Human-1970-like
A/human/Bilthoven/5931/1974|HA|1974.000	1974-XX-XX	out	human	?
A/human/Bilthoven/334/1975|HA|1975.000	1975-XX-XX	out	human	?
A/human/Bilthoven/1761/1976|HA|1976.000	1976-XX-XX	out	human	Other-Human-1970
A/human/Bilthoven/2271/1976|HA|1976.000	1976-XX-XX	out	human	Other-Human-1970-like
A/human/Bilthoven/10684/1982|HA|1982.000	1982-XX-XX	out	human	Other-Human-1980
A/human/Blagoveshchensk/19/2015|HA|2015.164	2015-03-XX	out	human	Other-Human-2010
A/swine/Boesingen/16789/2012|HA|2012.951	2012-12-14	Germany	swine	1970.1
A/swine/Boitzenborstel/17524/2013|HA|2013.227	2013-03-24	Germany	swine	1970.1
A/human/Bologna/15/2022|HA|2022.274	2022-04-11	out	human	Other-Human-2020
A/human/Bolzano/194/2022|HA|2022.945	2022-12-11	out	human	Other-Human-2020
A/human/Bolzano/87/2022|HA|2022.970	2022-12-21	out	human	Other-Human-2020
A/human/Bolzano/129/2022|HA|2022.989	2022-12-27	out	human	Other-Human-2020
A/human/Bolzano/123/2022|HA|2022.986	2022-12-26	out	human	Other-Human-2020
A/swine/Borchen/17851/2013|HA|2013.323	2013-04-28	Germany	swine	1970.1
A/swine/Borken/21121/2015|HA|2015.016	2015-01-06	Germany	swine	1970.1
A/human/Braila/89501/2012|HA|2012.008	2012-01-03	out	human	?
A/human/Brandenburg/3/2022|HA|2022.370	2022-05-16	out	human	Other-Human-2020
A/human/Bremen/1/2014|HA|2014.101	2014-02-06	out	human	Other-Human-2010-like
A/human/Brest/1999/2018|HA|2018.255	2018-04-04	out	human	Other-Human-2010
A/human/Bridgend/4379/2018|HA|2018.216	2018-03-20	out	human	Other-Human-2010-like
A/human/Bucuresti/193605/2016|HA|2016.183	2016-03-07	out	human	Other-Human-2010
A/human/Budapest/1514A07804502N/2011|HA|2011.945	2011-12-11	out	human	?
A/human/Bulgaria/1347/2018|HA|2018.915	2018-11-30	out	human	Other-Human-2010-like
A/human/Bulgaria/1175/2019|HA|2019.151	2019-02-25	out	human	Other-Human-2010
A/swine/Bunnik/17685/2013|HA|2013.285	2013-04-15	Netherlands	swine	1970.1
A/human/Burgos/11/2022|HA|2022.447	2022-06-13	out	human	Other-Human-2020
A/human/Caernarfon/8500/2018|HA|2018.285	2018-04-15	out	human	Other-Human-2010-like
A/human/Cardiff/7495/2017|HA|2017.521	2017-07-10	out	human	Other-Human-2010-like
A/human/Cardiff/0428/2019|HA|2019.104	2019-02-07	out	human	Other-Human-2010
A/human/Cardiff/8267/2022|HA|2022.123	2022-02-14	out	human	Other-Human-2020
A/human/Catalonia/NSVH203523/2013|HA|2013.022	2013-01-09	out	human	?
A/human/Centre/2484/2013|HA|2013.959	2013-12-17	out	human	Other-Human-2010-like
A/human/Chambery/2170/2019|HA|2019.926	2019-12-04	out	human	Other-Human-2010
A/human/Clermont-Ferrand/2635/2016|HA|2016.959	2016-12-16	out	human	Other-Human-2010-like
A/swine/Cloppenburg/22418/2015|HA|2015.877	2015-11-17	Germany	swine	2000.3
A/swine/Coesfeld/14741-1/2012|HA|2012.109	2012-02-09	Germany	swine	1970.1
A/human/Corsica/4076-15/2015|HA|2015.132	2015-02-18	out	human	?
A/human/Corsica/3490-2/2015|HA|2015.041	2015-01-15	out	human	?
A/human/Corsica/4076-04/2015|HA|2015.126	2015-02-15	out	human	Other-Human-2010-like
A/human/Corsica/4076-09/2015|HA|2015.099	2015-02-06	out	human	?
A/human/Corsica/4069-09/2015|HA|2015.137	2015-02-20	out	human	?
A/human/Cyprus/376/2019|HA|2019.079	2019-01-29	out	human	Other-Human-2010-like
A/human/Czech_Republic/126/2012|HA|2012.295	2012-04-17	out	human	2010.1-like
A/human/Czech_Republic/131/2012|HA|2012.311	2012-04-23	out	human	?
A/swine/Denmark/15163-3p1/2014|HA|2014.901	2014-11-25	Denmark	swine	2000.3
A/swine/Denmark/13210-1/2014|HA|2014.841	2014-11-03	Denmark	swine	2000.3
A/swine/Denmark/SIR1299/2017|HA|2017.126	2017-02-15	Denmark	swine	2000.3
A/human/Denmark/35/2000|HA|2000.000	2000-XX-XX	out	human	?
A/human/Denmark/22/2002|HA|2002.000	2002-XX-XX	out	human	Other-Human-2000-like
